Title,Genre,Premiere,Runtime,Language
Rich in Love,Romantic comedy,"April 30, 2020","1 hour, 45 min.",Portuguese
All Day and a Night,Drama,"May 1, 2020","2 hours, 1 min.",English
Mrs. Serial Killer,Thriller,"May 1, 2020","1 hour, 46 min.",Hindi
The Half of It,Romance,"May 1, 2020","1 hour, 45 min.",English
The Wrong Missy,Comedy,"May 13, 2020","1 hour, 30 min.",English
The Lovebirds,Romantic comedy,"May 22, 2020","1 hour, 27 min.",English
I'm No Longer Here,Drama,"May 27, 2020","1 hour, 45 min.",Spanish
Intuition,Thriller,"May 28, 2020","1 hour, 56 min.",Spanish
Choked: Paisa Bolta Hai,Drama,"June 5, 2020","1 hour, 54 min.",Hindi
The Last Days of American Crime,Heist film/Thriller,"June 5, 2020","2 hours, 29 min.",English
Da 5 Bloods,War drama,"June 12, 2020","2 hours, 35 min.",English
A Whisker Away,Anime/Fantasy,"June 18, 2020","1 hour, 44 min.",Japanese
Feel the Beat,Family/Comedy-drama,"June 19, 2020","1 hour, 47 min.",English
Lost Bullet,Thriller,"June 19, 2020","1 hour, 32 min.",French
One-Way to Tomorrow,Romance,"June 19, 2020","1 hour, 30 min.",Turkish
Bulbbul,Horror,"June 24, 2020","1 hour, 34 min.",Hindi
Nobody Knows I'm Here,Drama,"June 24, 2020","1 hour, 31 min.",Spanish
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,"June 26, 2020","2 hours, 3 min.",English
Under the Riccione Sun,Romantic teenage drama,"July 1, 2020","1 hour, 41 min.",Italian
Desperados,Romantic comedy,"July 3, 2020","1 hour, 46 min.",English
The Old Guard,Superhero/Action,"July 10, 2020","2 hours, 4 min.",English
The Players,Comedy,"July 15, 2020","1 hour, 28 min.",Italian
Fatal Affair,Thriller,"July 16, 2020","1 hour, 29 min.",English
Offering to the Storm,Thriller,"July 24, 2020","2 hours, 19 min.",Spanish
The Kissing Booth 2,Romantic comedy,"July 24, 2020","2 hours, 11 min.",English
Seriously Single,Comedy,"July 31, 2020","1 hour, 47 min.",English
Raat Akeli Hai,Thriller,"July 31, 2020","2 hours, 29 min.",Hindi
Work It,Dance comedy,"August 7, 2020","1 hour, 33 min.",English
Gunjan Saxena: The Kargil Girl,Drama,"August 12, 2020","1 hour, 52 min.",Hindi
Project Power,Superhero,"August 14, 2020","1 hour, 53 min.",English
Fearless,Animation/Superhero,"August 14, 2020","1 hour, 29 min.",English
Crazy Awesome Teachers,Comedy-drama,"August 17, 2020","1 hour, 41 min.",Indonesian
The Crimes That Bind,Crime drama,"August 20, 2020","1 hour, 39 min.",Spanish
The Sleepover,Comedy,"August 21, 2020","1 hour, 43 min.",English
Class of '83,Drama,"August 21, 2020","1 hour, 38 min.",Hindi
Dark Forces,Thriller,"August 21, 2020","1 hour, 21 min.",Spanish
All Together Now,Drama,"August 28, 2020","1 hour, 33 min.",English
Unknown Origins,Thriller,"August 28, 2020","1 hour, 36 min.",Spanish
Freaks - You're One of Us,Supernatural drama,"September 2, 2020","1 hour, 32 min.",German
"Love, Guaranteed",Romantic comedy,"September 3, 2020","1 hour, 31 min.",English
I'm Thinking of Ending Things,Psychological thriller,"September 4, 2020","2 hours, 14 min.",English
The Babysitter: Killer Queen,Comedy/Horror,"September 10, 2020","1 hour, 42 min.",English
Dad Wanted,Family,"September 11, 2020","1 hour, 42 min.",Spanish
The Devil All the Time,Psychological thriller,"September 16, 2020","2 hours, 18 min.",English
The Paramedic,Thriller,"September 16, 2020","1 hours, 34 min.",Spanish
Dolly Kitty Aur Woh Chamakte Sitare,Drama,"September 18, 2020",2 hours,Hindi
Whipped,Romantic comedy,"September 18, 2020","1 hour, 37 min.",Indonesian
Enola Holmes,Mystery,"September 23, 2020","2 hours, 3 min.",English
The Boys in the Band,Drama,"September 30, 2020","2 hours, 1 min.",English
All Because of You,Action comedy,"October 1, 2020","1 hour, 41 min.",Malay
Òlòtūré,Crime drama,"October 2, 2020","1 hour, 46 min.",English
Serious Men,Drama,"October 2, 2020","1 hour, 54 min.",Hindi
The Binding,Drama,"October 2, 2020","1 hour, 33 min.",Italian
Vampires vs. the Bronx,Horror comedy,"October 2, 2020","1 hour, 26 min.",English
You've Got This,Romantic comedy,"October 2, 2020","1 hour, 51 min.",Spanish
Hubie Halloween,Comedy,"October 7, 2020","1 hour, 43 min.",English
Ginny Weds Sunny,Romantic comedy,"October 9, 2020","2 hours, 5 min.",Hindi
The 40-Year-Old Version,Comedy,"October 9, 2020","2 hours, 4 min.",English
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,"October 15, 2020","1 hour, 38 min.",English
Love Like the Falling Rain,Drama,"October 15, 2020","1 hour, 26 min.",Indonesian
The Trial of the Chicago 7,Drama,"October 16, 2020","2 hours, 10 min.",English
Rebecca,Romantic thriller,"October 21, 2020","2 hours, 3 min.",English
Cadaver,Horror,"October 22, 2020","1 hour, 26 min.",Norwegian
Over the Moon,Animation/Musical/Adventure,"October 23, 2020","1 hour, 40 min.",English
Holidate,Romantic comedy/Holiday,"October 28, 2020","1 hour, 44 min.",English
Nobody Sleeps in the Woods Tonight,Horror,"October 28, 2020","1 hour, 43 min.",Polish
His House,Thriller,"October 30, 2020","1 hour, 33 min.",English
Kaali Khuhi,Mystery,"October 30, 2020","1 hour, 30 min.",Hindi
Rogue City,Crime drama,"October 30, 2020","1 hour, 56 min.",French
The Day of the Lord,Drama,"October 30, 2020","1 hour, 33 min.",Spanish
Operation Christmas Drop,Romantic comedy,"November 5, 2020","1 hour, 36 min.",English
Citation,Drama,"November 6, 2020","2 hours, 31 min.",English
What We Wanted,Drama,"November 11, 2020","1 hour, 33 min.",German
Ludo,Anthology/Dark comedy,"November 12, 2020","2 hours, 29 min.",Hindi
Jingle Jangle: A Christmas Journey,Family/Christmas musical,"November 13, 2020","1 hour, 59 min.",English
The Life Ahead,Drama,"November 13, 2020","1 hour, 35 min.",Italian
The Princess Switch: Switched Again,Romantic comedy,"November 19, 2020","1 hour, 37 min.",English
Dolly Parton's Christmas on the Square,Christmas musical,"November 22, 2020","1 hour, 38 min.",English
Hillbilly Elegy,Drama,"November 24, 2020","1 hour, 57 min.",English
Notes for My Son,Drama,"November 24, 2020","1 hour, 23 min.",Spanish
The Christmas Chronicles 2,Christmas comedy,"November 25, 2020","1 hour, 55 min.",English
The Beast,Drama,"November 27, 2020","1 hour, 39 min.",Italian
The Call,Drama,"November 27, 2020","1 hour, 52 min.",Korean
Finding Agnes,Drama,"November 30, 2020","1 hour, 45 min.",Filipino
Just Another Christmas,Comedy,"December 3, 2020","1 hour, 41 min.",Portuguese
Christmas Crossfire,Thriller,"December 4, 2020","1 hour, 46 min.",German
Leyla Everlasting,Comedy,"December 4, 2020","1 hour, 52 min.",Turkish
Mank,Biopic,"December 4, 2020","2 hours, 12 min.",English
The Claus Family,Fantasy,"December 7, 2020","1 hour, 36 min.",Dutch
Rose Island,Comedy,"December 9, 2020","1 hour, 57 min.",Italian
The Prom,Musical,"December 11, 2020","2 hours, 12 min.",English
A California Christmas,Romantic comedy,"December 14, 2020","1 hour, 47 min.",English
Ma Rainey's Black Bottom,Drama,"December 18, 2020","1 hour, 34 min.",English
The Midnight Sky,Science fiction,"December 23, 2020","2 hours, 2 min.",English
AK vs AK,Thriller,"December 24, 2020",TBA,Hindi
We Can Be Heroes,Superhero,"December 25, 2020",TBA,English
What Happened to Mr. Cha?,Comedy,"January 1, 2021",TBA,Korean
Ratones Paranoicos: The Band that Rocked Argentina,Drama,"January 6, 2021",TBA,Spanish
Pieces of a Woman,Drama,"January 7, 2021","2 hours, 8 min.",English
Stuck Apart,Drama,"January 8, 2021",TBA,Turkish
The Heartbreak Club,Comedy-Drama,"January 14, 2021",TBA,Indonesian
Double Dad,Comedy-drama,"January 15, 2021",TBA,Portuguese
Outside the Wire,Action/Science fiction,"January 15, 2021",TBA,English
The White Tiger,Drama,"January 22, 2021","2 hours, 11 min.",English
Finding Ohana,Family,"January 29, 2021",TBA,English
The Dig,Drama,"January 29, 2021",TBA,English
Malcolm & Marie,Romantic drama,"February 5, 2021","1 hour, 46 min.",English
The Yin Yang Master: Dream of Eternity,Fantasy,"February 5, 2021",TBA,Mandarin
Red Dot,Thriller,"February 11, 2021",TBA,Swedish
Call Me Crazy,Romantic comedy,"February 26, 2021",TBA,Spanish
Struggle Alley,Drama,"March 15, 2021",TBA,Turkish
