Title,Premiere,Runtime,Language
CounterPunch,"June 16, 2017","1 hour, 31 min.",English
Nobody Speak: Trials of the Free Press,"June 23, 2017","1 hour, 35 min.",English
Chasing Coral,"July 14, 2017","1 hour, 29 min.",English
Icarus,"August 4, 2017",2 hours,English
Resurface,"September 1, 2017",27 min.,English
Heroin(e),"September 12, 2017",39 min.,English
Strong Island,"September 15, 2017","1 hour, 47 min.",English
Gaga: Five Foot Two,"September 22, 2017","1 hour, 40 min.",English
Long Shot,"September 29, 2017",40 min.,English
The Death and Life of Marsha P. Johnson,"October 6, 2017","1 hour, 45 min.",English
Kingdom of Us,"October 13, 2017","1 hour, 49 min.",English
One of Us,"October 20, 2017","1 hour, 35 min.",English
Joan Didion: The Center Will Not Hold,"October 27, 2017","1 hour, 38 min.",English
"Jim & Andy: The Great Beyond – Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","November 17, 2017","1 hour, 34 min.",English
Saving Capitalism,"November 21, 2017","1 hour, 13 min.",English
Cuba and the Cameraman,"November 24, 2017","1 hour, 54 min.",English
Voyeur,"December 1, 2017","1 hour, 35 min.",English
Seeing Allred,"February 9, 2018","1 hour, 35 min.",English
The Trader,"February 9, 2018",23 min.,Georgian
Ladies First,"March 8, 2018",39 min.,English/Hindi
Take Your Pills,"March 16, 2018","1 hour, 27 min.",English
"Ram Dass, Going Home","April 6, 2018",31 min.,English
Mercury 13,"April 20, 2018","1 hour, 19 min.",English
The Rachel Divide,"April 27, 2018","1 hour, 44 min.",English
End Game,"May 4, 2018",40 min.,English
Recovery Boys,"June 29, 2018","1 hour, 29 min.",English
The Bleeding Edge,"July 27, 2018","1 hour, 40 min.",English
Zion,"August 10, 2018",11 min.,English
City of Joy,"September 7, 2018","1 hour, 16 min.",English
Reversing Roe,"September 13, 2018","1 hour, 39 min.",English
Quincy,"September 21, 2018","2 hours, 4 min.",English
Two Catalonias,"September 28, 2018","1 hour, 56 min.",Spanish/Catalan
Lessons from a School Shooting: Notes from Dunblane,"September 28, 2018",23 min.,English
Feminists: What Were They Thinking?,"October 12, 2018","1 hour, 26 min.",English
ReMastered: Who Shot the Sheriff?,"October 12, 2018",57 min.,English
Shirkers,"October 26, 2018","1 hour, 37 min.",English
They'll Love Me When I'm Dead,"November 2, 2018","1 hour, 38 min.",English
ReMastered: Tricky Dick & the Man in Black,"November 2, 2018",58 min.,English
The American Meme,"December 7, 2018","1 hour, 38 min.",English
ReMastered: Who Killed Jam Master Jay?,"December 7, 2018",58 min.,English
"Out of Many, One","December 12, 2018",34 min.,English
Struggle: The Life and Lost Art of Szukalski,"December 21, 2018","1 hour, 45 min.",English
ReMastered: Massacre at the Stadium,"January 11, 2019","1 hour, 4 min.",English/Spanish
Fyre: The Greatest Party That Never Happened,"January 18, 2019","1 hour, 37 min.",English
ReMastered: The Two Killings of Sam Cooke,"February 8, 2019","1 hour, 4 min.",English
Period. End of Sentence.,"February 12, 2019",26 min.,English/Hindi
Antoine Griezmann: The Making of a Legend,"March 21, 2019",1 hour,French
ReMastered: The Miami Showband Massacre,"March 22, 2019","1 hour, 10 min.",English
The Legend of Cocaine Island,"March 29, 2019","1 hour, 27 min.",English
Homecoming: A Film by Beyoncé,"April 17, 2019","2 hours, 17 min.",English
Brené Brown: The Call to Courage,"April 19, 2019","1 hour, 16 min.",English
Grass Is Greener,"April 20, 2019","1 hour, 37 min.",English
ReMastered: Devil at the Crossroads,"April 26, 2019",48 min.,English
Knock Down the House,"May 1, 2019","1 hour, 27 min.",English
All in My Family,"May 3, 2019",39 min.,English/Mandarin
ReMastered: The Lion's Share,"May 17, 2019","1 hour, 24 min.",English
A Tale of Two Kitchens,"May 22, 2019",30 min.,English/Spanish
After Maria,"May 24, 2019",37 min.,English/Spanish
The Black Godfather,"June 7, 2019","1 hour, 58 min.",English
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"June 12, 2019","2 hours, 22 min.",English
Life Overtakes Me,"June 14, 2019",40 min.,English/Swedish
The Edge of Democracy,"June 19, 2019","2 hours, 1 min.",Portuguese
Parchis: The Documentary,"July 10, 2019","1 hour, 46 min.",Spanish
The Great Hack,"July 24, 2019","1 hour, 54 min.",English
Enter the Anime,"August 5, 2019",58 min.,English/Japanese
American Factory,"August 21, 2019","1 hour, 50 min.",English
Travis Scott: Look Mom I Can Fly,"August 28, 2019","1 hour, 25 min.",English
Evelyn,"September 10, 2019","1 hour, 36 min.",English
"Hello, Privilege. It's Me, Chelsea","September 13, 2019","1 hour, 4 min.",English
Los Tigres del Norte at Folsom Prison,"September 15, 2019","1 hour, 4 min.",Spanish
Birders,"September 25, 2019",37 min.,English/Spanish
Ghosts of Sugar Land,"October 16, 2019",21 min.,English
Tell Me Who I Am,"October 18, 2019","1 hour, 25 min.",English
Dancing with the Birds,"October 23, 2019",51 min.,English
It Takes a Lunatic,"October 25, 2019","2 hours, 6 min.",English
A 3 Minute Hug,"October 28, 2019",28 min.,English/Spanish
Little Miss Sumo,"October 28, 2019",19 min.,Japanese
Fire in Paradise,"November 1, 2019",39 min.,English
"Bikram: Yogi, Guru, Predator","November 20, 2019","1 hour, 26 min.",English
"Lorena, Light-Footed Woman","November 20, 2019",28 min.,Spanish
After the Raid,"December 19, 2019",25 min.,Spanish
El Pepe: A Supreme Life,"December 27, 2019","1 hour, 13 min.",Spanish
