Title,Genre,Premiere,Runtime,Language
8,Horror,TBA,"1 hour, 40 min.",English
"8, Rue de l'Humanité",Comedy,TBA,TBA,French
A Catfishing with a Happy Ending,Romantic drama/Thriller,TBA,TBA,English
A Time Lost,Drama,TBA,TBA,English
Afterlife of the Party,Comedy,TBA,TBA,English
ALICE,Musical,TBA,TBA,English
Along for the Ride,Drama,TBA,TBA,English
Amor De Madre,Comedy,TBA,TBA,Spanish
Angry Birds: Summer Madness,Animation,TBA,TBA,English
Animal Farm,Fantasy/Drama,TBA,TBA,English
Auntie Claus,Christmas film,TBA,TBA,English
Awake,Science fiction/Thriller,TBA,TBA,English
Bad Dad,Comedy,TBA,TBA,English
Bad Trip,Hidden-camera prank comedy,TBA,"1 hour, 24 min.",English
Ball and Chain,Superhero,TBA,TBA,English
Bigbug,Science fiction,TBA,TBA,French
Bird Box 2,Psychological thriller,TBA,TBA,English
Black Island,Thriller,TBA,TBA,German
Black Stallions,Comedy,TBA,TBA,English
Button Man,Crime drama/Action,TBA,TBA,English
Carmen Sandiego,Adventure,TBA,TBA,English
Carnaval,TBA,TBA,TBA,Portuguese
Caste,Historical drama,TBA,TBA,English
Centauro,Action/Thriller,TBA,TBA,Spanish
Cobalt Blue,Romantic drama,TBA,TBA,Hindi
Cocaine Hippos,Comedy,TBA,TBA,English
Cold Warrior,Thriller,TBA,TBA,English
Dark Days at the Magna Carta,Post-apocalyptic thriller,TBA,TBA,English
Day Shift,Fantasy comedy,TBA,TBA,English
Dead or Alive,Action,TBA,TBA,English
Death and the King's Horseman,Drama,TBA,TBA,English
Damsel,Fantasy,TBA,TBA,English
Dial A for Aunties,Romantic comedy,TBA,TBA,English
Distancia de Rescate,Drama,TBA,TBA,Spanish
Dorothy & Alice,Fantasy,TBA,TBA,English
Dr. Rapp,Drama,TBA,TBA,English
Dragon's Lair,Fantasy,TBA,TBA,English
Empress,Science fiction-adventure,TBA,TBA,English
En passant pécho,Comedy,TBA,TBA,French
End of the Road,Thriller,TBA,TBA,English
Exit West,Drama,TBA,TBA,English
Failsafe,Action,TBA,TBA,English
Faun,Supernatural/Adventure,TBA,TBA,English
First Ladies,Comedy,TBA,TBA,English
Flash Boys,Drama,TBA,TBA,English
Fondeados,TBA,TBA,TBA,Spanish
Forty Acres,Thriller,TBA,TBA,English
Freedom,Drama,TBA,TBA,Hindi
Fuimos canciones,TBA,TBA,TBA,Spanish
Fuzzy Towers,Comedy,TBA,TBA,English
Girls & Boys,Romantic comedy,TBA,TBA,English
Hamlet,Drama,TBA,TBA,English
Harvey,Comedy,TBA,TBA,English
Hello America,Science fiction,TBA,TBA,English
"Hello, Universe",Family,TBA,TBA,English
Here Comes the Flood,Heist/Romance,TBA,TBA,English
High in the Clouds,Animation/Musical,TBA,TBA,English
Hometown,Comedy,TBA,TBA,English
Huck,Science fiction/Adventure,TBA,TBA,English
Humbug,Comedy,TBA,TBA,English
Hummingbird Salamander,Thriller,TBA,TBA,English
Hustle,Sports,TBA,TBA,English
Idol,Drama,TBA,TBA,English
Intrusion,Thriller,TBA,TBA,English
Ivy & Bean,Children's film,TBA,TBA,English
Janet,Biopic,TBA,TBA,English
John Henry and the Statesmen,Adventure,TBA,TBA,English
Kate,Action,TBA,TBA,English
Kid Alpha One,Action,TBA,TBA,Filipino
Kingdom Come,Heist,TBA,TBA,English
Lady Business,Drama,TBA,TBA,English
Last Sons of America,Science fiction,TBA,TBA,English
Leave the World Behind,Drama,TBA,TBA,English
Life Sentence,Science fiction,TBA,TBA,English
Little Nemo in Slumberland,Fantasy,TBA,TBA,English
Lou,Thriller,TBA,TBA,English
Love Hard,Romantic comedy,TBA,TBA,English
Love Me So Much,Drama,TBA,TBA,Turkish
Maestro,Biopic,TBA,TBA,English
Metal Lords,Musical/Drama,TBA,TBA,English
Mika Model,Science fiction,TBA,TBA,English
Mimi from Rio,Science fiction,TBA,TBA,English
Monster,Drama,TBA,"1 hour, 31 minutes",English
Most Dangerous Game,Romantic comedy,TBA,TBA,English
Mr. Harrigan's Phone,Horror,TBA,TBA,English
Navarasa,Anthology film,TBA,TBA,Tamil
Nightbooks,Fantasy/Horror,TBA,TBA,English
Night Teeth,Thriller,TBA,TBA,English
No One Gets Out Alive,Horror,TBA,TBA,English
Old Man's War,Science fiction/War drama,TBA,TBA,English
Once and For All,Drama,TBA,TBA,English
Once Upon a Time in Shaolin,Drama,TBA,TBA,English
Our Man in New Jersey,Spy film,TBA,TBA,English
Parts,Animation/Horror,TBA,TBA,English
Pashmina,Animation/Adventure/Fantasy/Musical,TBA,TBA,English
Past Midnight,Superhero thriller,TBA,TBA,English
Prey,Thriller,TBA,TBA,German
Prodigy,Superhero/Action,TBA,TBA,English
Pyros,Science fiction,TBA,TBA,English
Quartermaster,Thriller,TBA,TBA,English
Quem Nunca?,TBA,TBA,TBA,Portuguese
Rebel Ridge,Thriller,TBA,TBA,English
Reborn,Science fantasy,TBA,TBA,English
Redd Zone,Drama,TBA,TBA,English
Running with Sherman,Drama,TBA,TBA,English
Scarlet,TBA,TBA,TBA,English
Sentinelle,Action,TBA,TBA,French
Sexcastle,Action/Comedy,TBA,TBA,English
Sharkey the Bounty Hunter,Science fiction/Action,TBA,TBA,English
Sherlock Junior,Mystery,TBA,TBA,English
Shoe Dog,Biopic,TBA,TBA,English
Six Years,Thriller,TBA,TBA,English
Spaceman of Bohemia,Science fiction,TBA,TBA,English
Spiderhead,Thriller,TBA,TBA,English
Strangers,Dark comedy,TBA,TBA,English
Super-Normal,Superhero-Comedy,TBA,TBA,English
Tell Me Everything,Mystery thriller,TBA,TBA,English
The Adam Project,Science fiction,TBA,TBA,English
The Battle of the Scheldt,War drama,TBA,TBA,Dutch
The Beast,Horror,TBA,TBA,Spanish
The Boys' Club,Drama,TBA,TBA,English
The Cactus,Romantic comedy,TBA,TBA,English
The Chameleon,Psychological thriller,TBA,TBA,English
The Cipher,Thriller,TBA,TBA,English
The Council,Crime drama,TBA,TBA,English
The Division,Action,TBA,TBA,English
The Girls I've Been,Thriller,TBA,TBA,English
The Good Nurse,Drama,TBA,TBA,English
The Gray Man,Spy thriller,TBA,TBA,English
The Guilty,Thriller,TBA,TBA,English
The Hand of God,Drama,TBA,TBA,Italian
The Harder They Fall,Drama,TBA,TBA,English
The Helicopter Heist,Thriller,TBA,TBA,English
The Hills Have Eyes for You,Romantic comedy-horror,TBA,TBA,English
The Hunchback of Notre Dame,Drama,TBA,TBA,English
The Last,Multilingual post apocalyptic thriller,TBA,TBA,English
The Last Mercenary,Action comedy,TBA,TBA,French
The Legend of Cocaine Island,Comedy,TBA,TBA,English
The Magician's Elephant,Animation,TBA,TBA,English
The Noel Diary,Drama,TBA,TBA,English
The Ogun,Action/Thriller,TBA,TBA,English
The Other,Anthology film,TBA,TBA,Hindi
The Other Mrs.,Thriller,TBA,TBA,English
The Outlaw Ocean,Thriller,TBA,TBA,English
The Perfect Find,Romantic comedy,TBA,TBA,English
The School for Good and Evil,Fantasy,TBA,TBA,English
The Selection,Coming-of-age/Science-fiction,TBA,TBA,English
The Shambling Guide,Urban fantasy,TBA,TBA,English
The Stand Off,Period drama,TBA,TBA,English
The Starling,Comedy-drama,TBA,TBA,English
The Three Musketeers,Adventure,TBA,TBA,English
The Unsound,Horror,TBA,TBA,English
The Upper World,Fantasy,TBA,TBA,English
The Watcher,Horror,TBA,TBA,English
The Wicked Deep,Horror/Romance/Fantasy,TBA,TBA,English
Thelma the Unicorn,Animation/Musical,TBA,TBA,English
They Cloned Tyrone,Science fiction,TBA,TBA,English
Things Heard and Seen,Horror,TBA,TBA,English
This Lullaby,Drama,TBA,TBA,English
Thunder Force,Superhero-Comedy,TBA,TBA,English
"To All the Boys: Always and Forever, Lara Jean",Romantic comedy,TBA,TBA,English
Transatlantic 473,Thriller,TBA,TBA,German
Treffen sich vier,Drama,TBA,TBA,German
Tribhanga – Tedhi Medhi Crazy,Comedy,TBA,TBA,Hindi
Trigger Warning,Action/Thriller,TBA,TBA,English
True Spirit,Biopic,TBA,TBA,English
Tunga,Animation/Adventure/Musical,TBA,TBA,English
Uglies,Fantasy,TBA,TBA,English
Untitled action comedy starring Vince Vaughn,Action comedy,TBA,TBA,English
Untitled Adam Sandler film,TBA,TBA,TBA,English
Untitled Adam Sandler film,TBA,TBA,TBA,English
Untitled Adam Sandler film,TBA,TBA,TBA,English
Untitled Adam Sandler film,TBA,TBA,TBA,English
Untitled Adam Sandler film,TBA,TBA,TBA,English
Untitled Army of the Dead prequel,Zombie film,TBA,TBA,English
Untitled Ava DuVernay film,Buddy film,TBA,TBA,English
Untitled Beverly Hills Cop sequel,Action comedy,TBA,TBA,English
Untitled Beyond Good & Evil film,Hybrid live-action/animation,TBA,TBA,English
Untitled Bright sequel,Urban fantasy,TBA,TBA,English
Untitled Chris Nee film,TBA,TBA,TBA,English
Untitled Death Note sequel,Horror thriller,TBA,TBA,English
Untitled Extraction sequel,Action,TBA,TBA,English
Untitled Frederick Douglass: Prophet of Freedom adaptation,Biopic,TBA,TBA,English
Untitled Gore Verbinski animated film,Animation,TBA,TBA,English
Untitled Harlan Coben film,Mystery,TBA,TBA,English
Untitled Jason Bateman film,Action comedy,TBA,TBA,English
Untitled Jonás Cuarón film,Fantasy/Adventure,TBA,TBA,English
Untitled Judd Apatow film,Comedy,TBA,TBA,English
Untitled Juneteenth musical,Musical,TBA,TBA,English
Untitled Hulk Hogan biopic,Biopic,TBA,TBA,English
Untitled Mark Duplass and Jay Duplass film,TBA,TBA,TBA,English
Untitled Mark Duplass and Jay Duplass film,TBA,TBA,TBA,English
Untitled Murder Mystery sequel,Comedy/Mystery,TBA,TBA,English
Untitled Patrick Osborne film,Animation/Fantasy,TBA,TBA,English
Untitled Prentice Penny holiday film,Drama,TBA,TBA,English
Untitled romantic comedy from Peru,Romantic comedy,TBA,TBA,Spanish
"Untitled Solvan ""Slick"" Naim film",Hip-hop musical,TBA,TBA,English
Untitled SpongeBob SquarePants spin-off film,Animation,TBA,TBA,English
Untitled SpongeBob SquarePants spin-off film,Animation,TBA,TBA,English
Untitled Steve Carr film,Comedy,TBA,TBA,English
Untitled Steven Tsuchida film,Romantic comedy,TBA,TBA,English
Untitled The Chronicles of Narnia film,Fantasy,TBA,TBA,English
Untitled The Girls of Summer: The U.S. Women's Soccer Team and How It Changed the World adaptation,Sports drama,TBA,TBA,English
Untitled Virunga film,TBA,TBA,TBA,English
Untitled Wyclef Jean childhood film,Animation,TBA,TBA,English
Upstate,Comedy,TBA,TBA,English
Valhalla,TBA,TBA,TBA,English
V.I.N.,TBA,TBA,TBA,English
VOR,Crime drama,TBA,TBA,English
War Party,Action/Adventure,TBA,TBA,English
Water Margin,Action/Adventure,TBA,TBA,English
Way Station,Science fiction,TBA,TBA,English
Where I End,Science fiction/Thriller,TBA,TBA,English
Xtremo,Action,TBA,TBA,Spanish
Yes Day,Comedy,TBA,TBA,English
Your Place or Mine,Romantic comedy,TBA,TBA,English
Yuba,Western,TBA,TBA,English
