"","Title","Genre","Premiere","Episodes","Seasons","Min_Time","Max_Time","Language","Status","Service","Format","Origin","Network","Region"
"2696","Lucid Dream","Thriller",2017-02-22,NA,NA,1,1,"Korean","Distribution","Netflix","Film","Original",NA,NA
"2697","Orbiter 9","Science-Fiction",2017-04-07,NA,NA,1,1,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2698","The Circle","Thriller",2017-04-26,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2699","Blade of the Immortal","Action-drama",2017-04-29,NA,NA,2,2,"Japanese","Distribution","Netflix","Film","Original",NA,NA
"2700","A Prayer Before Dawn","Drama",2017-05-19,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2701","Good Time","Crime / Drama",2017-05-25,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2702","Ali's Wedding","Romantic / Comedy",2017-06-08,NA,NA,1,1,"Arabic","Distribution","Netflix","Film","Original",NA,NA
"2703","Animal Crackers","Animation",2017-06-12,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2704","All Eyez on Me","Biographical / Drama",2017-06-14,NA,NA,2,2,"English","Distribution","Netflix","Film","Original",NA,NA
"2705","Catching Feelings","Romantic / Comedy",2017-06-18,NA,NA,2,2,"English","Distribution","Netflix","Film","Original",NA,NA
"2706","You Get Me","Thriller",2017-06-19,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2707","Kidnap","Thriller",2017-07-31,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2708","6 Days","Action / Thriller",2017-08-04,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2709","What Happened to Monday","Science-Fiction-thriller",2017-08-05,NA,NA,2,2,"English","Distribution","Netflix","Film","Original",NA,NA
"2710","The Hitman's Bodyguard","Action / Comedy",2017-08-18,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2711","Home Again","Romantic / Comedy",2017-08-29,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2712","Maktub","Drama",2017-09-06,NA,NA,1,1,"Hebrew","Distribution","Netflix","Film","Original",NA,NA
"2713","Kodachrome","Drama",2017-09-08,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2714","Manhunt","Action / Thriller",2017-09-08,NA,NA,1,1,"Mandarin/Japanese","Distribution","Netflix","Film","Original",NA,NA
"2715","Ravenous","Horror",2017-09-08,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2716","The Ritual","Horror",2017-09-08,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2717","The Motive","Drama",2017-09-09,NA,NA,1,1,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2718","The Foreigner","Action / Thriller",2017-09-24,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2719","Rock My Heart","Drama",2017-09-26,NA,NA,1,1,"German","Distribution","Netflix","Film","Original",NA,NA
"2720","Errementari","Fantasy",2017-10-12,NA,NA,1,1,"Basque","Distribution","Netflix","Film","Original",NA,NA
"2721","A Bad Moms Christmas","Comedy",2017-10-30,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2722","Gnome Alone","Animation",2017-11-02,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2723","The Skin of the Wolf","Drama",2017-11-03,NA,NA,1,1,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2724","Godzilla: Planet of the Monsters","Anime",2017-11-17,NA,NA,1,1,"Japanese","Distribution","Netflix","Film","Original",NA,NA
"2725","Forgotten","Thriller",2017-11-29,NA,NA,1,1,"Korean","Distribution","Netflix","Film","Original",NA,NA
"2726","The 3rd Eye","Horror",2017-11-30,NA,NA,1,1,"Indonesian","Distribution","Netflix","Film","Original",NA,NA
"2727","Fullmetal Alchemist","Fantasy / Adventure",2017-12-01,NA,NA,2,2,"Japanese","Distribution","Netflix","Film","Original",NA,NA
"2728","Burn Out","Action / Thriller",2017-12-11,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2729","Steel Rain","Action",2017-12-14,NA,NA,2,2,"Korean","Distribution","Netflix","Film","Original",NA,NA
"2730","Guardians of the Tomb","Adventure",2018-01-19,NA,NA,1,1,"English/Mandarin","Distribution","Netflix","Film","Original",NA,NA
"2731","The Kindergarten Teacher","Drama",2018-01-19,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2732","Time Share","Drama",2018-01-20,NA,NA,1,1,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2733","White Fang","Animation",2018-01-21,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
